,main
total_ins,1444149851.0
total_uops,0.0
cycles,8846719758.0
cycles:k,0.0
ipc,0.16324127931079424
cpi,6.125901513526522
instructions,1444149851.0
branch_miss,0.17788305397435122
branch_misses,59201909.0
branch_instructions,332813653.0
l1i_cache_mpki,92.41612074230655
l1d_cache_mpki,770.7730608629201
l1d_cache_misses,55306054.0
l1d_cache,770664536.0
l1i_cache_load_misses,133462727.0
l1d_cache_miss,0.07176410930630912
l1i_cache_loads,1113111801.0
l1i_cache_load_miss,0.11990055884781695
l2_cache_misses,61023356.0
l2_cache,723594519.0
l2_cache_miss,0.0843336349262756
l3_cache_misses,0.0
l3_cache,0.0
l3_cache_miss,
dtlb_misses,7520396.0
dtlb,0.0
dtlb_miss,inf
itlb_misses,57680164.0
itlb,0.0
itlb_miss,inf
stlb,0.0
stlb_misses,0.0
stlb_miss,0.0
load,0.3661284295628127
store,0.17318994481549824
br,0.2304564535110699
fp,0.0
int,0.4556220786536646
vector,1.170238669366452e-07
other,0.0
syscall_rate,0.0
loads,528744317.0
stores,250112233.0
fps,0.0
ints,657986557.0
vector_uops,169.0
others,0.0
