,readrandom_16_8192,fillrandom_1_65536,readrandom_32_65536,readrandom_32_8192,readrandom_1_8192,readrandom_1_65536,readrandom_16_65536,compact_1_65536
total_ins,8415945914506.0,849390488233.0,15240696472820.0,15353081205461.0,587949535462.0,595446150765.0,8394468163860.0,651740803947.0
total_uops,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cycles,4834112316534.0,772229326541.0,9648413196974.0,9640665682528.0,302751047367.0,302743169694.0,4835664387062.0,495870316830.0
cycles:k,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ipc,1.7409496022095183,1.0999200095619566,1.5796065282112803,1.5925333074546648,1.9420231261802292,1.9668359532829487,1.7359492909226106,1.3143372003257805
cpi,0.5743991662543559,0.9091570216985599,0.6330690473483818,0.6279303517979747,0.5149269267286753,0.5084308115940467,0.5760536930595056,0.7608397599582004
instructions,8415945914506.0,849390488233.0,15240696472820.0,15353081205461.0,587949535462.0,595446150765.0,8394468163860.0,651740803947.0
branch_miss,0.04089947824223971,0.06658324865035851,0.041009826035540646,0.04099736473488302,0.040437596834657544,0.04031888350783967,0.040829332616470815,0.07145877981419808
branch_misses,24213133979.0,7357334993.0,43966897687.0,44282503114.0,1691016701.0,1702608535.0,24108984066.0,5099038560.0
branch_instructions,592015718039.0,110498288115.0,1072106417835.0,1080130476687.0,41817932651.0,42228563563.0,590481953072.0,71356361993.0
l1i_cache_mpki,2.00450519304344,1.6321048059814387,2.027955784574533,2.027253323061248,2.071073008065504,2.0413920107441035,1.9973076694939054,1.1995788805384935
l1d_cache_mpki,197.76644557900497,435.7849791325449,198.18494908954239,198.03166120651724,198.51524945467634,198.42246476563298,197.86043581732505,381.86788974967874
l1d_cache_misses,33504884031.0,24615014922.0,64381717544.0,65445716122.0,2362862027.0,2403477732.0,33341445849.0,16020024297.0
l1d_cache,2874997107139.0,339008784151.0,5207315950659.0,5245540567962.0,200423612625.0,203019808575.0,2868798530254.0,245689566981.0
l1i_cache_load_misses,16869807290.0,1386294298.0,30907458573.0,31124584893.0,1217686413.0,1215539015.0,16766335645.0,781814504.0
l1d_cache_miss,0.011653884432719227,0.07260878205160629,0.012363704863318755,0.012476448380119383,0.011789339569589549,0.011838636578716418,0.011622093882642915,0.06520433282475882
l1i_cache_loads,1664391709697.0,370151616190.0,3020476654555.0,3040396175756.0,116716948699.0,118149892870.0,1660933129356.0,248878885467.0
l1i_cache_load_miss,0.010135719369253001,0.0037452066595554476,0.010232642760668358,0.010237016195845206,0.010432815684209475,0.010288109328524354,0.010094527798058237,0.0031413452472394024
l2_cache_misses,59681640244.0,7561903435.0,102621505074.0,103025634935.0,3977797608.0,3947225203.0,59328160141.0,7117937461.0
l2_cache,194529530523.0,64625483431.0,320742128257.0,333863609323.0,13195073654.0,13368566331.0,192766623622.0,43518315208.0
l2_cache_miss,0.3067998986248702,0.1170111701071261,0.31995019061472585,0.3085859975692251,0.3014608112319371,0.29526166869867626,0.3077719525623782,0.1635618802561434
l3_cache_misses,20483458047.0,607673932.0,36115399337.0,36476564726.0,1762650007.0,1774281079.0,20432530849.0,222060561.0
l3_cache,37909159074.0,5676564643.0,63818936204.0,64253199558.0,2671563426.0,2658768095.0,37337430128.0,5357823223.0
l3_cache_miss,0.540330056043068,0.10704959252940899,0.5659041263482606,0.5677003632025107,0.659782204624327,0.6673320182894703,0.5472398817742221,0.04144604100537343
dtlb_misses,6143428018.0,23504238851.0,11043499847.0,10992619141.0,495689141.0,483929067.0,6153896453.0,14262867764.0
dtlb,3082427490748.0,427574420792.0,5589973126531.0,5627490459597.0,214831473496.0,217515156000.0,3076352719903.0,299239556437.0
dtlb_miss,0.0019930486723336352,0.054971106099992804,0.0019755908654704615,0.0019533785476710005,0.0023073394830540475,0.0022248061969530066,0.0020003871510527044,0.04766371108761757
itlb_misses,3049062833.0,1219198709.0,5580830947.0,5554719531.0,212668354.0,217960063.0,3035986911.0,76244970.0
itlb,1664621813125.0,370405171073.0,3020538437539.0,3040336969328.0,116747881810.0,118203375407.0,1660553741894.0,249045804347.0
itlb_miss,0.0018316850163557477,0.0032915272361565343,0.0018476278525847902,0.001827007857036238,0.0018216035332110322,0.001843941107853443,0.001828297895096851,0.00030614838182042414
stlb,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stlb_misses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stlb_miss,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
load,0.2479344974009947,0.41808972401582284,0.24754924491629293,0.24765550168669423,0.24792397358807186,0.2477772124825233,0.24788001948371,0.3825478206751576
store,0.13402033214447126,0.14476775517913396,0.13435395829893604,0.13425899185225515,0.13382699511476256,0.13396075995876372,0.1339890796046336,0.1343974277328247
br,0.070344525030583,0.13009127091224118,0.07034497535903142,0.07035268440466556,0.07112503731827977,0.07091919816552146,0.07034179432762071,0.10948579797499183
fp,0.00026387816468404147,0.00024289761877272737,0.0002645609359907381,0.00026466821614638803,0.0002623647314880307,0.0002631476764081723,0.00026427119130080935,0.00012140788565147844
