,select_random_ranges.lua_threads128,oltp_point_select.lua_threads128,oltp_update_index.lua_threads64,oltp_delete.lua_threads64,oltp_read_write.lua_threads64,oltp_update_index.lua_threads128,select_random_points.lua_threads128,oltp_read_only.lua_threads64,oltp_update_non_index.lua_threads64,oltp_delete.lua_threads128,oltp_point_select.lua_threads64,oltp_read_only.lua_threads128,select_random_ranges.lua_threads64,oltp_insert.lua_threads128,select_random_points.lua_threads64,oltp_write_only.lua_threads128,oltp_write_only.lua_threads64,oltp_insert.lua_threads64,oltp_update_non_index.lua_threads128,oltp_read_write.lua_threads128
total_ins,1142957643020.0,1529866756310.0,50250202250.0,7936397684.0,109312036070.0,67996046043.0,887677656108.0,3944262109973.0,5221172762.0,12032110170.0,1569732918839.0,3269838927604.0,1514410228578.0,14576642464.0,1407606170407.0,34391554607.0,31874456083.0,7711349442.0,5767128944.0,135580120886.0
total_uops,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cycles,6504016741934.0,4890649659264.0,43704604958.0,16671128808.0,182544654122.0,58600642330.0,5711823167879.0,5592343574588.0,13744194011.0,20635973609.0,4771678809140.0,4873115418058.0,8033030269002.0,29171366250.0,8565375508643.0,61005278932.0,67102223626.0,16013855952.0,15288632590.0,225989498888.0
cycles:k,180937013464.0,1518620075090.0,12126553574.0,5961832738.0,50311292282.0,16672484352.0,162334886134.0,1316065443639.0,4896550674.0,7647870620.0,1479202760116.0,1138305516203.0,222846744406.0,12326171863.0,241288837986.0,19703882883.0,22603637244.0,6672831912.0,5187400175.0,61063470913.0
ipc,0.17573104258033262,0.31281462850484193,1.1497690529016404,0.476056407181711,0.5988235404414721,1.1603293639699597,0.15541056332064737,0.7052968147193249,0.37988206204170993,0.5830648167117454,0.3289686883015316,0.6709955843621437,0.1885229082755773,0.4996900844162553,0.1643367729747093,0.5637471905559978,0.4750134102955368,0.48154232591538426,0.37721679228344906,0.599939915585163
cpi,5.690514238785479,3.1967814445881046,0.8697398816539091,2.1005914108373704,1.6699410301451536,0.8618242639129569,6.434569044941767,1.417842784952819,2.6323959457980486,1.7150751877631785,3.0398029829617204,1.490322773063569,5.304395148297995,2.0012404311928935,6.085065331992952,1.7738447601197733,2.105203723359799,2.0766606509595134,2.650995449981394,1.6668335845342623
instructions,1142957643020.0,1529866756310.0,50250202250.0,7936397684.0,109312036070.0,67996046043.0,887677656108.0,3944262109973.0,5221172762.0,12032110170.0,1569732918839.0,3269838927604.0,1514410228578.0,14576642464.0,1407606170407.0,34391554607.0,31874456083.0,7711349442.0,5767128944.0,135580120886.0
branch_miss,0.03808730510269131,0.13002325502333192,0.03269255301357129,0.09078536020704678,0.0627085268341214,0.028831691749476647,0.045995732186581595,0.05783566003127945,0.099324530928893,0.08552401236223578,0.12692288109926742,0.059889324712203804,0.0377270665695731,0.06709001378396624,0.04537285450463178,0.06493231863333149,0.07733808331432689,0.07232254685954034,0.0982473779244133,0.06360835408299327
branch_misses,9563218742.0,49559494286.0,277803158.0,133512481.0,1517674322.0,348088122.0,8908653579.0,49482739054.0,113530358.0,167672488.0,49044354392.0,42685904058.0,12527784262.0,213222554.0,13867249160.0,473167592.0,548731842.0,126730602.0,122601362.0,1871174065.0
branch_instructions,251086778553.0,381158695628.0,8497444598.0,1470638886.0,24202040753.0,12073107781.0,193684351906.0,855574900109.0,1143024356.0,1960531123.0,386410661082.0,712746457956.0,332063566058.0,3178156360.0,305628757798.0,7287089110.0,7095234566.0,1752297278.0,1247884316.0,29417111824.0
