,instructions,cycles,cycles:u,cycles:k,BR_MIS_PRED_RETIRED,BR_RETIRED,branch-load-misses,branch-loads,L1-dcache-load-misses,L1-dcache-loads,L1-icache-load-misses,L1-icache-loads,L2D_CACHE_REFILL,L2D_CACHE,L3D_CACHE_REFILL,L3D_CACHE,LL_CACHE_MISS_RD,LL_CACHE_RD,dTLB-load-misses,dTLB-loads,iTLB-load-misses,iTLB-loads,L2TLB_REFILL,L2TLB_REQ,LD_SPEC,ST_SPEC,DP_SPEC,VFP_SPEC,ASE_SPEC
select_random_ranges.lua_threads128,1142957643020,6504016741934,6322940227240,180937013464,7929401715,226634787352,9563218742,251086778553,9635187962,500761908318,20549936866,360842282792,29051734020,64030526576,0,0,693476938,11659369802,2305868592,571552659476,791114264,360684427273,71275398,3126667711,407651264542,200084315602,579210452874,839126108,46724020
oltp_point_select.lua_threads128,1529866756310,4890649659264,3371549686690,1518620075090,39401427012,303191207354,49559494286,381158695628,33672179546,683963644874,159972613202,649591590246,130040021616,290809774511,0,0,2017149401,42658138007,11488635916,851452377244,7105456074,649726807034,766152292,16439355448,686637367826,335191186932,1093131886426,2174295464,350566675
oltp_update_index.lua_threads64,50250202250,43704604958,31643179398,12126553574,216154603,8263225884,277803158,8497444598,203857462,12354397971,597736889,11717423592,646198790,1476223385,0,0,41544099,295313427,78208890,13510032111,17504838,12208460320,7760865,95453337,10920202701,5726997667,29276685836,7791595,693848
oltp_delete.lua_threads64,7936397684,16671128808,10861089607,5961832738,99195687,1223794866,133512481,1470638886,101358957,2670471504,372186747,2499122051,381817418,792581654,0,0,16622314,134121314,40140438,3793209360,9421295,3074502174,2612470,48776275,3116506941,1703648528,6666591076,1918564,301114
oltp_read_write.lua_threads64,109312036070,182544654122,132094609355,50311292282,1222634831,21742470653,1517674322,24202040753,1098458552,43501489170,3906768743,35618364418,3843391552,8328911271,0,0,141908146,1384115016,328907110,49870588448,153468994,35339552190,28988560,450584502,36119697798,18407416086,63908914726,99760273,6484636
oltp_update_index.lua_threads128,67996046043,58600642330,41362544694,16672484352,267069418,11429611776,348088122,12073107781,277230654,18134343385,675624155,17229188890,760894444,1873133097,0,0,55991730,414606104,134207025,19934644598,20241168,17779478816,11095930,167135358,15347051310,7623537932,40133458756,9235992,749407
select_random_points.lua_threads128,887677656108,5711823167879,5549319664764,162334886134,7291531494,168714887606,8908653579,193684351906,8645367182,376015769038,19289906702,293397973931,26635941690,58891261936,0,0,879622705,11329195580,2560227072,444852382434,821683922,292693714838,175518038,3338508102,311380986386,166710666215,507885498352,680931450,228769752
oltp_read_only.lua_threads64,3944262109973,5592343574588,4275986155220,1316065443639,40749795030,785729692628,49482739054,855574900109,36373731426,1580884267368,133254369870,1207844945412,121148030747,272943125060,0,0,2922199368,39267843034,10141948828,1782718085024,5421409057,1208046226438,642358816,14181208348,1277671582288,648401272666,2161728303304,3612220062,287461744
oltp_update_non_index.lua_threads64,5221172762,13744194011,8962805902,4896550674,86055961,919317594,113530358,1143024356,84666342,1975189064,315878632,1933254482,340304210,675002244,0,0,15435944,129096298,30977413,2540845135,8708658,1893748822,2130360,39484596,1842092546,931947950,4048944339,2019998,65720
oltp_delete.lua_threads128,12032110170,20635973609,13216377502,7647870620,123422324,1646469964,167672488,1960531123,125590553,3464468108,452702276,3256955776,465145894,979122887,0,0,23174354,162857056,50141314,5027348914,11019528,4296279450,2742487,64236353,4320220969,2460742082,9481536044,200006,514878
oltp_point_select.lua_threads64,1569732918839,4771678809140,3292129907602,1479202760116,39405530049,311299457311,49044354392,386410661082,33847305386,697516230028,161253412907,653242959672,122167786510,286120171918,0,0,1306311392,38011485993,11722540398,861067686177,6889771463,653247888248,765419222,16574360316,690572880558,337287497151,1100351565533,2239720220,352863169
oltp_read_only.lua_threads128,3269838927604,4873115418058,3734494025510,1138305516203,34829292448,651457691941,42685904058,712746457956,30635965158,1313069922602,112502312820,1012201398664,107018066807,233350729153,0,0,3559555313,35368481072,8299240374,1489250838366,4603186954,1013017673854,591811324,11823660503,1070089884606,543082574234,1810342362052,3027146655,235223380
select_random_ranges.lua_threads64,1514410228578,8033030269002,7810153547824,222846744406,10492111046,300325997374,12527784262,332063566058,12736168640,662533996569,26823192345,475800739548,37479227635,84827335909,0,0,664376618,14885457424,3028650781,754220389476,1022602198,475560496702,89719836,4102107022,537954236826,263784350404,764661250678,1105644592,62424416
oltp_insert.lua_threads128,14576642464,29171366250,17026211726,12326171863,159328982,2714755947,213222554,3178156360,184417106,4363254120,554976650,5015716585,607653929,1343280127,0,0,28802028,291888042,65657962,5389583756,17638615,5036395910,7874492,84359680,3941171268,2100464674,10494458812,1378886,448777
select_random_points.lua_threads64,1407606170407,8565375508643,8323974166217,241288837986,11467881548,267000360178,13867249160,305628757798,13829787164,596579743831,30393897260,461317676126,41434929901,93223561823,0,0,1104660821,17539171946,3653435355,703171081672,1285837795,460850623022,221183998,4863877156,491830668831,264078357300,799053033616,1060836002,68820586
oltp_write_only.lua_threads128,34391554607,61005278932,41184660130,19703882883,359384336,6429551568,473167592,7287089110,331992490,11354044412,1233930878,11167550715,1226184190,2691156562,0,0,61430936,515773680,133706112,13254105552,46727334,10971291158,15915202,176546356,10184956505,5356729872,22259963946,19878175,1256702
oltp_write_only.lua_threads64,31874456083,67102223626,44524289554,22603637244,423292511,6076153836,548731842,7095234566,392647506,11518249922,1433220900,11321476292,1440452766,3070406400,0,0,65681684,587297288,144028808,13749721324,50031270,11319010036,15477888,187108680,10308609970,5352613899,21664282369,24228250,1216414
oltp_insert.lua_threads64,7711349442,16013855952,9544369952,6672831912,95134094,1479173605,126730602,1752297278,104595060,2497791848,330571917,2782511105,362603080,772407685,0,0,16607810,161518715,38628588,3195313570,9110386,2711625250,3325864,49930610,2544737680,1131525790,6406925616,591534,88840
oltp_update_non_index.lua_threads128,5767128944,15288632590,10148187368,5187400175,91746663,1004471221,122601362,1247884316,91558167,2162709476,340978854,2097759716,367077262,735867997,0,0,18113564,135693715,34325158,2959753604,7645048,2187275816,1964952,41637972,2293458854,1169995397,4840578592,455586,34812
oltp_read_write.lua_threads128,135580120886,225989498888,164890619656,61063470913,1498971486,26512973416,1871174065,29417111824,1325580037,52503731793,4806075950,43394875588,4745947830,10217506620,0,0,206490448,1696082692,408186798,61438332797,190249951,44024475240,38274256,563494661,44762348561,22875998848,79851227674,120342578,7971387
