,normal_nq200000,partition_nq100000,partition_nq300000,normal_nq300000,partition_nq200000,normal_nq100000
total_ins,332973726243.0,166276600608.0,483015818299.0,437548021447.0,338892258299.0,154492627682.0
total_uops,0.0,0.0,0.0,0.0,0.0,0.0
cycles,705144919939.0,344573532018.0,920400002821.0,900755191942.0,741477887478.0,330526002743.0
cycles:k,355032418223.0,172767177460.0,472386016426.0,436973823240.0,364531985100.0,159851208905.0
ipc,0.4722060910143188,0.48255766957548546,0.52478902305364,0.4857568686378151,0.4570497165487691,0.46741444364401646
cpi,2.117719400552325,2.072291174813816,1.905527661728145,2.058643046683524,2.1879457831220335,2.139428966302123
instructions,332973726243.0,166276600608.0,483015818299.0,437548021447.0,338892258299.0,154492627682.0
branch_miss,0.07053693794242374,0.07034076550686585,0.06927700133187611,0.06996323972492316,0.07110178168079581,0.08082052747611711
branch_misses,5336336053.0,2637932785.0,7630498230.0,6939598317.0,5437932757.0,2659293165.0
branch_instructions,75653072116.0,37502190458.0,110144753429.0,99189207708.0,76480963324.0,32903684844.0
l1i_cache_mpki,44.09795239304917,45.113000846609175,44.12442348587184,44.93143610153741,45.27203120545664,44.748515192776885
l1d_cache_mpki,14.483787187702731,14.42921598244754,14.879567603624546,14.522434593547096,14.428020048442718,15.25046426066134
l1d_cache_misses,4822720590.0,2399240983.0,7187066522.0,6354262523.0,4889544297.0,2356084297.0
l1d_cache,132463709514.0,66045415615.0,191901845837.0,172194224728.0,134577050780.0,57463848779.0
l1i_cache_load_misses,14683459528.0,7501236424.0,21312794517.0,19659660967.0,15342340893.0,6913315697.0
l1d_cache_miss,0.036407863011644635,0.03632713884315527,0.03745178422152667,0.03690171684350777,0.036332675360772976,0.041001157198176125
l1i_cache_loads,123235214125.0,61596960679.0,178689077105.0,159727804187.0,125454003988.0,54286348711.0
l1i_cache_load_miss,0.1191498682601084,0.12177932711795902,0.11927306840628164,0.12308227153729363,0.12229454943875315,0.1273490640124625
l2_cache_misses,13718539941.0,6918624326.0,19954029094.0,18547860900.0,14343456592.0,7275929388.0
l2_cache,35393626581.0,17700162169.0,51405113835.0,46314793013.0,36579204144.0,17227830095.0
l2_cache_miss,0.3875991602500656,0.3908791490123889,0.3881720631540354,0.40047379451299375,0.3921205211446002,0.4223357989879224
l3_cache_misses,731184385.0,561251031.0,1071711766.0,1284492982.0,1036513830.0,557618377.0
l3_cache,7226513652.0,3579216268.0,10824813739.0,9571013347.0,7341503107.0,3897798979.0
l3_cache_miss,0.10118079342417605,0.15680835942154922,0.09900509993431121,0.13420658141727695,0.14118550586891415,0.14305980888297626
dtlb_misses,2379187818.0,1171558396.0,3494543346.0,3055943034.0,2408091256.0,1086717720.0
dtlb,161138562475.0,78404495153.0,232724302391.0,207004537341.0,163357485394.0,72513482023.0
dtlb_miss,0.014764856912318065,0.01494249014311997,0.015015807589053675,0.0147626862350651,0.014741236070033479,0.014986423071716682
itlb_misses,294624104.0,166697088.0,438713315.0,432365335.0,341846984.0,178696703.0
itlb,122761769195.0,60026759069.0,177669695326.0,157901317260.0,124716009405.0,56493591575.0
itlb_miss,0.002399966259300211,0.002777046280449421,0.002469263619746857,0.002738199671178601,0.0027410032250943317,0.0031631322778047327
stlb,0.0,0.0,0.0,0.0,0.0,0.0
stlb_misses,0.0,0.0,0.0,0.0,0.0,0.0
stlb_miss,0.0,0.0,0.0,0.0,0.0,0.0
load,0.3360087811083024,0.33022612756228187,0.33501235511262556,0.3307882936034069,0.33570425762167877,0.3408308641327806
store,0.18666472191454672,0.1815470137086001,0.18410389099297145,0.18333449295397333,0.18784251477304356,0.1840370890287645
br,0.22720432921121636,0.22554099807712613,0.2280354995761596,0.2266933064397704,0.2256792872988025,0.2129789967177419
fp,0.0007668458496141418,0.0007368247038489515,0.0007955246110845548,0.0008720886355241368,0.0008124628233822728,0.0008672711766919535
int,0.6767121592697646,0.6655692695745155,0.6767294892703863,0.666347422049345,0.678332431129715,0.6810604534449193
vector,0.0001749335770639487,0.0001782797272232288,0.00019314044067652255,0.000198573394784564,0.0001866447003466017,0.0015067541441469157
other,0.0,0.0,0.0,0.0,0.0,0.0
syscall_rate,0.503488585372937,0.5013942204097525,0.5132399119710455,0.48511940552670935,0.49162893628546117,0.4836267270302847
loads,111882095896.0,54908877923.0,161816266845.0,144735763384.0,113767573986.0,52655855795.0
stores,62154448014.0,30187020290.0,88925091560.0,80217644655.0,63658374036.0,28432373475.0
fps,255339520.0,122516707.0,384250971.0,381580657.0,275337361.0,133987003.0
ints,225327369266.0,110668595614.0,326871048027.0,291558996114.0,229881609463.0,105218819063.0
vector_uops,58248285.0,29643747.0,93289888.0,86885396.0,63252444.0,232782407.0
others,0.0,0.0,0.0,0.0,0.0,0.0
