,readrandom_32_65536,readrandom_16_8192,readrandom_16_65536,readrandom_1_8192,readrandom_32_8192,compact_1_65536,fillrandom_1_65536,readrandom_1_65536
total_ins,5313149374413.0,5399103424758.0,5345111381021.0,481076415494.0,5322003250934.0,902621968715.0,1361860773858.0,483940311122.0
total_uops,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cycles,4218409205479.0,4262450904783.0,4263224349350.0,268489841252.0,4220452714656.0,850319275160.0,1600018529948.0,268328277558.0
cycles:k,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ipc,1.259514929825233,1.2666664192423975,1.2537720145635667,1.7917862860310974,1.2610029328021473,1.0615094765964919,0.8511531262717689,1.8035382462342038
cpi,0.7939564480897081,0.7894738384223585,0.797593173546864,0.5581022735780915,0.7930195671931091,0.9420547079864899,1.1748767279751553,0.5544656466742552
instructions,5313149374413.0,5399103424758.0,5345111381021.0,481076415494.0,5322003250934.0,902621968715.0,1361860773858.0,483940311122.0
branch_miss,0.01641829780641216,0.016773022818367903,0.016059060203795782,0.014068288898296555,0.01746479279421482,0.06249477512227825,0.06824174700716931,0.014237528640903663
branch_misses,6254307415.0,6475825195.0,6134637441.0,483643117.0,6671414325.0,6784049581.0,13407905155.0,490052310.0
branch_instructions,380935191257.0,386085755986.0,382004760126.0,34378247454.0,381992182994.0,108553868187.0,196476581316.0,34419759381.0
l1i_cache_mpki,2.7128183825233454,2.7072242383753093,2.6675356449310224,2.541107247472718,2.7686316556484813,1.917716614480662,2.971585238141212,2.535787244412119
l1d_cache_mpki,298.80832295222274,298.91286926223995,298.38026402648205,295.70273882148814,299.60761138903223,519.7392242910561,605.0491441637756,295.5577853235333
l1d_cache_misses,26411466570.0,27098508920.0,26622645113.0,2347706213.0,26784583880.0,24903363219.0,49997922005.0,2305482465.0
l1d_cache,1886960697382.0,1918669224170.0,1898581420053.0,170612923739.0,1890552839064.0,325845900032.0,518782731136.0,171661396966.0
l1i_cache_load_misses,14413609292.0,14616583657.0,14258275135.0,1222466766.0,14734666672.0,1730973146.0,4046885372.0,1227169668.0
l1d_cache_miss,0.013996829190265436,0.014123595968827084,0.014022387890142112,0.013760424248935976,0.014167593376158092,0.0764268116203222,0.09637545547346474,0.013430407218791502
l1i_cache_loads,1587613254163.0,1613861496138.0,1594875745120.0,142255613644.0,1594512681817.0,469128041848.0,823992695693.0,143032326584.0
l1i_cache_load_miss,0.009078791232187683,0.00905690091248707,0.008940053906160065,0.00859345184829942,0.009240858878092685,0.00368976695398832,0.004911312191422353,0.008579666550269725
l2_cache_misses,24645761923.0,25255309791.0,25284345267.0,1958301009.0,24626511169.0,2699029655.0,3804420703.0,1985939216.0
l2_cache,159657860534.0,162626163582.0,160450688694.0,13988300201.0,161239280254.0,63988791332.0,122450928813.0,14044739835.0
l2_cache_miss,0.15436610412145385,0.155296720003271,0.15758327666153232,0.139995637844547,0.15273270340952833,0.042179725524058284,0.0310689411658926,0.14140092585061403
l3_cache_misses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
l3_cache,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
l3_cache_miss,,,,,,,,
dtlb_misses,3394271235.0,3338112538.0,3305663988.0,276967715.0,3379493567.0,19272180418.0,39790514186.0,270911285.0
dtlb,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dtlb_miss,inf,inf,inf,inf,inf,inf,inf,inf
itlb_misses,2514056854.0,2566733860.0,2511439155.0,219217395.0,2534542903.0,158808129.0,1276056182.0,217440100.0
itlb,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
itlb_miss,inf,inf,inf,inf,inf,inf,inf,inf
stlb,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stlb_misses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stlb_miss,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
load,0.22726646225458424,0.2274597096430034,0.22727533237332687,0.22628614738723918,0.22754204679402926,0.31684821191218066,0.3497178624763444,0.22648630225467759
store,0.1182436540787843,0.11828972170923474,0.11821262877188256,0.11780075451590456,0.11835746371001449,0.11197156496521292,0.11858049784818785,0.11790934429435257
br,0.07169668390870075,0.07150923507328538,0.07146806359964591,0.07146109505014545,0.07177601459130285,0.12026504112407166,0.14427068103254323,0.07112397663505009
fp,4.739798982742182e-06,4.766198010210078e-06,4.748403389706705e-06,4.654069349254816e-06,4.751000667946335e-06,1.5926490267531978e-06,8.075105261198062e-05,4.722613403915925e-06
int,0.6040972147128096,0.6040817856100225,0.6037783097733208,0.6020059025625047,0.6045816868287934,0.7781359690856015,0.8251286200260058,0.6020556274481321
vector,0.000337409836552555,0.00033871443369914127,0.00033737546001436915,0.00033076964256624345,0.000339219792976107,0.00039441006239502116,0.0005112323398725008,0.0003312814231744866
other,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
syscall_rate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
loads,1207500661753.0,1228078497328.0,1214811965694.0,108860928661.0,1210979512762.0,285994156820.0,476267038824.0,109605851578.0
stores,628246196697.0,638658441594.0,631859667429.0,56671164725.0,629898806637.0,101067994409.0,161490128564.0,57061084762.0
fps,25183260.0,25733196.0,25380745.0,2238963.0,25284841.0,1437560.0,109971691.0,2285463.0
ints,3209658738436.0,3261500037521.0,3227262315183.0,289610841711.0,3217585702758.0,702362620344.0,1123710301001.0,291358987660.0
vector_uops,1792708862.0,1828754259.0,1803309411.0,159125474.0,1805328841.0,356003187.0,696227270.0,160320435.0
others,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
