,oltp_delete.lua_threads64,oltp_update_non_index.lua_threads128,oltp_point_select.lua_threads64,oltp_write_only.lua_threads64,oltp_update_non_index.lua_threads64,oltp_write_only.lua_threads128,select_random_ranges.lua_threads64,oltp_read_only.lua_threads64,oltp_update_index.lua_threads64,oltp_insert.lua_threads128,oltp_point_select.lua_threads128,oltp_delete.lua_threads128,select_random_points.lua_threads64,select_random_ranges.lua_threads128,oltp_update_index.lua_threads128,oltp_read_only.lua_threads128,oltp_insert.lua_threads64,select_random_points.lua_threads128,oltp_read_write.lua_threads128,oltp_read_write.lua_threads64
total_ins,36738286236.0,54201733189.0,127827111068.0,97318087245.0,34861557730.0,110464194643.0,506064414440.0,311627829330.0,121819441569.0,66438147771.0,65606107984.0,38071673966.0,321642666613.0,400841494201.0,140485960185.0,369714777739.0,63364456759.0,195121259513.0,193988402002.0,222633933979.0
total_uops,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cycles,111923585812.0,173383715908.0,536492125138.0,271724307632.0,107589720745.0,275778057324.0,875428400413.0,704145109189.0,178812107484.0,157460222044.0,242792448888.0,123017354316.0,663140499440.0,618018041339.0,267864212672.0,735772978759.0,152812648139.0,372357238774.0,486240775939.0,538292489888.0
cycles:k,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ipc,0.3282443639512224,0.3126114404986005,0.23826465492875498,0.35815009740239817,0.32402312682478185,0.4005546913880109,0.5780763043571062,0.44256194534805154,0.6812706548962314,0.42193607317811865,0.27021477926714293,0.3094821391476494,0.4850294423046345,0.648591897628968,0.5244670752528827,0.5024848539050506,0.41465452978318273,0.5240162918691845,0.39895543854252213,0.41359286663152667
cpi,3.046510800558944,3.1988592560945532,4.19701361202322,2.792125444758581,3.0861994629807956,2.496537979707036,1.7298754376589198,2.259570689507777,1.467845404485118,2.3700272708796195,3.7007598278381666,3.2312042392950975,2.0617305111385913,1.5418015606665159,1.906697383277738,1.9901097361015379,2.411646149200122,1.9083376137657189,2.5065456023189827,2.4178366714697437
instructions,36738286236.0,54201733189.0,127827111068.0,97318087245.0,34861557730.0,110464194643.0,506064414440.0,311627829330.0,121819441569.0,66438147771.0,65606107984.0,38071673966.0,321642666613.0,400841494201.0,140485960185.0,369714777739.0,63364456759.0,195121259513.0,193988402002.0,222633933979.0
branch_miss,0.08622909747932576,0.09270468685648124,0.1766323576134686,0.08185333817422216,0.08951857014491549,0.06603224394638994,0.04378094264147067,0.07800255388327662,0.03466633874040819,0.06206671456624306,0.17801241083942976,0.09245065488271668,0.05235491378400459,0.041494643000520276,0.038007719436354816,0.0781790428554979,0.06726928051702268,0.05210106713152387,0.0815867666220657,0.08254817308885148
branch_misses,713423622.0,1145874321.0,5474267251.0,1772206559.0,705054644.0,1577246266.0,4640771852.0,5180089422.0,845950773.0,943975611.0,2742644714.0,803678963.0,3389856935.0,3451859842.0,1122907007.0,6065701021.0,985043482.0,2040928773.0,3432550408.0,3960070936.0
branch_instructions,8273583313.0,12360478848.0,30992437201.0,21650999196.0,7876071332.0,23886001319.0,105999815719.0,66409228469.0,24402656979.0,15209047516.0,15407042133.0,8693058627.0,64747636659.0,83188083868.0,29544182699.0,77587302165.0,14643288503.0,39172494641.0,42072391763.0,47972847706.0
