,INST_RETIRED,CPU_CYCLES,BR_MIS_PRED_RETIRED,BR_RETIRED,L1D_CACHE_REFILL,L1D_CACHE,L1I_CACHE_REFILL,L1I_CACHE,L2D_CACHE_REFILL,L2D_CACHE,LL_CACHE_MISS_RD,LL_CACHE_RD,L1D_TLB_REFILL,L1D_TLB,L1I_TLB_REFILL,L1I_TLB,L2TLB_REFILL,L2TLB_REQ,LD_SPEC,ST_SPEC,DP_SPEC,VFP_SPEC,ASE_SPEC
oltp_delete.lua_threads64,36738286236,111923585812,713423622,8273583313,1013057662,15844139563,2191122830,23299838242,623891488,7652802987,0,0,620115832,0,301632491,0,0,0,11051419974,5135011214,24268318516,19868174,25019408
oltp_update_non_index.lua_threads128,54201733189,173383715908,1145874321,12360478848,1454609830,23517947921,3443046128,35529776537,962616092,11637241898,0,0,909851604,0,468097708,0,0,0,16512106679,7702219913,36101039376,29952575,48679012
oltp_point_select.lua_threads64,127827111068,836492125138,5474267251,30992437201,4800459906,67350321745,14395126787,106217586577,1409233770,43665878074,0,0,3091515980,0,2321520426,0,0,0,51303093541,23061246322,57056117280,118566641,71150513
oltp_write_only.lua_threads64,97318087245,271724307632,1772206559,21650999196,2435115949,39935692200,5297547877,58110752105,1417374621,18697339423,0,0,1391700467,0,752188796,0,0,0,28158183852,12491912925,62715478296,30746866,65331618
oltp_update_non_index.lua_threads64,34861557730,107589720745,705054644,7876071332,922851139,15034446191,2125692370,22569281170,598234270,7220478357,0,0,574066967,0,283057927,0,0,0,10453086033,4901533141,23255751896,17109070,29930489
oltp_write_only.lua_threads128,110464194643,275778057324,1577246266,23886001319,2581325063,43914048420,4912391893,61271045736,1407642335,18643800844,0,0,1500552284,0,709765888,0,0,0,30680608727,13265012091,69746263871,21871481,72684212
select_random_ranges.lua_threads64,506064414440,875428400413,4640771852,105999815719,11427004070,241022642006,9768857951,240729995549,3939130607,50640104908,0,0,5347958747,0,1978094119,0,0,0,160146588574,72721842230,244641523577,295651210,393255741
oltp_read_only.lua_threads64,311627829330,704145109189,5180089422,66409228469,6406616547,153548469642,12599162267,170845126954,3829230304,44956280687,0,0,4106171865,0,1918457379,0,0,0,104591454093,45559097876,164157813884,230683194,195360576
oltp_update_index.lua_threads64,121819441569,178812107484,845950773,24402656979,1591414152,42905384116,2574895620,54702224881,792720321,10485163935,0,0,863250983,0,350917474,0,0,0,29933665173,12123797249,73563587342,10853964,31884996
oltp_insert.lua_threads128,66438147771,157460222044,943975611,15209047516,1412145020,22368214477,2861163896,37491793631,803508071,10233168170,0,0,804947259,0,360935477,0,0,0,15605395053,7191637299,46612482214,1038165,5180214
oltp_point_select.lua_threads128,65606107984,442792448888,2742644714,15407042133,2384674399,33475095065,7142826822,50944875523,142164437,21043912947,0,0,1554884109,0,1162063986,0,0,0,25189307432,11216868953,32535555499,62930566,37958495
oltp_delete.lua_threads128,38071673966,123017354316,803678963,8693058627,1099171708,16554984893,2452537365,25068325161,681456128,8478918861,0,0,668768890,0,334132745,0,0,0,11570665230,5398678633,25377201934,24096106,29397184
select_random_points.lua_threads64,321642666613,663140499440,3389856935,64747636659,7899727131,146367197777,8184278623,158134266321,3463376519,38874305687,0,0,3542008525,0,1845972486,0,0,0,94166879094,47972758848,171503793937,202702493,179067264
select_random_ranges.lua_threads128,400841494201,618018041339,3451859842,83188083868,8840255752,189458899445,7610788193,184384698323,1939342596,38400226412,0,0,4135935672,0,1499465294,0,0,0,124260577522,56844328382,190548541559,234202845,320032512
oltp_update_index.lua_threads128,140485960185,267864212672,1122907007,29544182699,2601942951,51254856927,3474298452,68236384472,1304588424,16449438137,0,0,1475980964,0,497270641,0,0,0,35673218410,14388745286,87101559007,13798585,51131649
oltp_read_only.lua_threads128,369714777739,735772978759,6065701021,77587302165,7481686305,179579425735,14466762602,195755907961,2862681182,50966891574,0,0,4875308734,0,2211904754,0,0,0,121598885826,52898285491,190614393839,259260253,216642704
oltp_insert.lua_threads64,63364456759,152812648139,985043482,14643288503,1386807372,21733297666,2831804746,36735685071,803613875,10111439239,0,0,785000200,0,362153571,0,0,0,15351852057,7086976962,44625358171,970136,5696064
select_random_points.lua_threads128,195121259513,372357238774,2040928773,39172494641,4756099070,88260614703,4873023293,94421347495,1468445524,22864198697,0,0,2124366443,0,1108817912,0,0,0,56635061158,28907389802,103271487474,122109823,120553436
oltp_read_write.lua_threads128,193988402002,486240775939,3432550408,42072391763,4393595530,89956896194,8924787248,110609107850,2897946427,32157215410,0,0,2739548676,0,1307871329,0,0,0,61912527420,27296351194,111025423788,111808185,124184307
oltp_read_write.lua_threads64,222633933979,538292489888,3960070936,47972847706,4909490860,103488036866,10176968458,126374286904,3092921046,36137260186,0,0,3089304928,0,1494009785,0,0,0,71157663360,31246491879,126454070245,129609722,139913411
