,partition_nq100000,normal_nq100000,partition_nq300000,normal_nq300000,partition_nq200000,normal_nq200000
total_ins,101403909855.0,101152722555.0,341027836028.0,299869737064.0,208365433842.0,200793276300.0
total_uops,0.0,0.0,0.0,0.0,0.0,0.0
cycles,273535702372.0,273591370032.0,906466879239.0,806396080451.0,558856979173.0,537470816448.0
cycles:k,0.0,0.0,0.0,0.0,0.0,0.0
ipc,0.3707154458290562,0.36972190512869213,0.376216543415575,0.3718640806094808,0.37284214317291064,0.3735891701562305
cpi,2.6974867415185035,2.704735602971433,2.6580436652818418,2.6891545920784066,2.6821002354775016,2.6767371216403624
instructions,101403909855.0,101152722555.0,341027836028.0,299869737064.0,208365433842.0,200793276300.0
branch_miss,0.0762580097034719,0.07766342613924504,0.0724637234137522,0.07713585162122999,0.07400094153251545,0.07509229694927375
branch_misses,1773698181.0,1813279085.0,5649182425.0,5313395830.0,3556780246.0,3456396119.0
branch_instructions,23259172222.0,23347915166.0,77958765557.0,68883608832.0,48063986381.0,46028637549.0
l1i_cache_mpki,57.55731633371742,58.467280619009536,59.162383226521875,58.5290833041086,58.161613251022885,57.781823399631435
l1d_cache_mpki,619.6247377132261,625.8700975109904,611.6452711117515,620.4709931275588,616.4323742890882,614.0771898645493
l1d_cache_misses,2644284291.0,2591464915.0,8568721814.0,7810305407.0,5387349765.0,5193279302.0
l1d_cache,42886531860.0,43032063810.0,142150292206.0,127298937972.0,88366854225.0,85163485818.0
l1i_cache_load_misses,5836536917.0,5914124615.0,20176019526.0,17551100821.0,12118869778.0,11602201631.0
l1d_cache_miss,0.061657685439150824,0.0602217203999819,0.06027931199453647,0.061354050013503754,0.060965729879698,0.06098011667932876
l1i_cache_loads,62832371047.0,63308464329.0,208588063224.0,186060473565.0,128443199103.0,123302570854.0
l1i_cache_load_miss,0.09289060431340625,0.09341759712043575,0.09672662574335922,0.09433008787257839,0.09435197708118237,0.094095374902912
l2_cache_misses,1900217552.0,1832952658.0,5809349869.0,5442452936.0,3831812779.0,3692745370.0
l2_cache,20425875658.0,20403792762.0,68278386611.0,60781425982.0,41864962075.0,40257665526.0
l2_cache_miss,0.0930299187078308,0.08983391859447273,0.0850832914681684,0.08954138288252311,0.09152791711922266,0.09172775722961576
l3_cache_misses,0.0,0.0,0.0,0.0,0.0,0.0
l3_cache,0.0,0.0,0.0,0.0,0.0,0.0
l3_cache_miss,,,,,,
dtlb_misses,1743951614.0,1730169267.0,5798576189.0,5126707798.0,3560809676.0,3424362287.0
dtlb,0.0,0.0,0.0,0.0,0.0,0.0
dtlb_miss,inf,inf,inf,inf,inf,inf
itlb_misses,839765288.0,845116752.0,2771931234.0,2479278151.0,1695387922.0,1648320404.0
itlb,0.0,0.0,0.0,0.0,0.0,0.0
itlb_miss,inf,inf,inf,inf,inf,inf
stlb,0.0,0.0,0.0,0.0,0.0,0.0
stlb_misses,0.0,0.0,0.0,0.0,0.0,0.0
stlb_miss,0.0,0.0,0.0,0.0,0.0,0.0
load,0.2860436290324143,0.2850717472020692,0.27880976203125346,0.2870373768615057,0.2820691568620107,0.28333450334761034
store,0.13673123812312593,0.13671858261136252,0.13386574459350514,0.13742456278342227,0.13558425954384695,0.13611127019595326
br,0.2293715523914105,0.2308184552650571,0.22859942010891807,0.2297117725397493,0.2306715921866681,0.2292339584131782
fp,0.0003985156199379764,0.00040765719358249456,0.00036149929705409155,0.00041151517725065745,0.00039988877456124716,0.00040843516531633984
int,0.6472777765557095,0.6503965601442728,0.6550604709894071,0.6499387347493619,0.6463215093685779,0.6441589257837116
vector,0.0006128678380238577,0.0005920350286907806,0.0005413205536243764,0.0006394866947146215,0.0006070234427458333,0.000603198703820343
other,0.0,0.0,0.0,0.0,0.0,0.0
syscall_rate,0.0,0.0,0.0,0.0,0.0,0.0
loads,29005942373.0,28835783353.0,95081889809.0,86073822727.0,58773462243.0,56891663216.0
stores,13865082145.0,13829456855.0,45651945197.0,41209467508.0,28251073062.0,27330227884.0
fps,40411042.0,41235635.0,123281323.0,123400948.0,83322998.0,82011035.0
ints,65636497305.0,65789382799.0,223393854889.0,194896957497.0,134671061701.0,129342781166.0
vector_uops,62147195.0,59885955.0,184605377.0,191762707.0,126482703.0,121118244.0
others,0.0,0.0,0.0,0.0,0.0,0.0
