,readrandom_1_8192,readrandom_16_65536,readrandom_16_8192,readrandom_32_65536,readrandom_1_65536,readrandom_32_8192,compact_1_65536,fillrandom_1_65536
total_ins,501173419107.0,5763687968934.0,5798225511624.0,5695915425379.0,504839341014.0,5709239624608.0,922579249313.0,1328256743033.0
total_uops,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cycles,468348268429.0,4246237412924.0,4247149972250.0,4202537219694.0,468422332019.0,4205901305685.0,1460622889808.0,3066372182134.0
cycles:k,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ipc,1.0700870546358734,1.357363568836597,1.3652038542336407,1.3553515715903017,1.0777439641659161,1.3574354721284068,0.6316341170267938,0.43316879495972266
cpi,0.934503408547707,0.7367222923605536,0.7324913395892452,0.7378159445572119,0.9278641618502744,0.7366832682160858,1.5831950381451296,2.308568880389879
instructions,501173419107.0,5763687968934.0,5798225511624.0,5695915425379.0,504839341014.0,5709239624608.0,922579249313.0,1328256743033.0
branch_miss,0.010345893818669884,0.010854967694715634,0.010625818760110897,0.011480078121584057,0.010227097303481448,0.011165999246288721,0.058327065605290225,0.0690188262024543
branch_misses,487473109.0,5887027350.0,5793342293.0,6163582725.0,484613948.0,6008477454.0,6914220340.0,13517062870.0
branch_instructions,47117544172.0,542334856774.0,545213731176.0,536893796342.0,47385287694.0,538104769799.0,118542228522.0,195846026566.0
l1i_cache_mpki,2.1791845564076637,2.2888463905584935,2.2080102219781015,2.3714018345174495,2.21426594400257,2.301566562097525,1.7571210139477365,2.3047325037550697
l1d_cache_mpki,307.27638189271454,308.7803292559503,308.3804969995363,309.76403893103793,307.2476253107591,309.31447751630344,498.401733434176,582.6703675094927
l1d_cache_misses,2187550105.0,25718560237.0,25635738500.0,25485769607.0,2120463041.0,25569413857.0,25357976400.0,49941405342.0
l1d_cache,179378901052.0,2065193844902.0,2077215341121.0,2041679415040.0,180751955002.0,2045702609191.0,325644018901.0,491737488336.0
l1i_cache_load_misses,1092149375.0,13192196404.0,12802541199.0,13507304289.0,1117848560.0,13140195015.0,1621083386.0,3061276489.0
l1d_cache_miss,0.012195136062104945,0.012453339574145607,0.012341396672992649,0.012482747986417197,0.011731342219654207,0.012499086495818549,0.07787023537413458,0.10156111040262089
l1i_cache_loads,153998754924.0,1779713468776.0,1788059664990.0,1764389767575.0,155110688690.0,1765950471501.0,459815097088.0,773935844610.0
l1i_cache_load_miss,0.0070919363961026,0.007412539510122912,0.007160019013723236,0.007655510441757216,0.00720677968385597,0.007440862712209174,0.0035255114420259127,0.0039554654437056495
l2_cache_misses,1888328768.0,25569540768.0,25612561630.0,24848261133.0,1909313677.0,24856218736.0,2992919249.0,4083688130.0
l2_cache,13050951543.0,155777237765.0,155059502757.0,154846425885.0,13061899035.0,154194553400.0,65060621644.0,121172249010.0
l2_cache_miss,0.1446889724307361,0.16414170089838992,0.16517892276578802,0.16047035629646428,0.14617427924407472,0.1612003678983385,0.04600200817902901,0.03370151303920244
l3_cache_misses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
l3_cache,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
l3_cache_miss,,,,,,,,
dtlb_misses,281318267.0,3331987972.0,3387609796.0,3461870390.0,280388172.0,3445269904.0,19207992081.0,39251575982.0
dtlb,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dtlb_miss,inf,inf,inf,inf,inf,inf,inf,inf
itlb_misses,210624989.0,2551739731.0,2512913518.0,2566424743.0,219275280.0,2524011550.0,164807083.0,841925731.0
itlb,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
itlb_miss,inf,inf,inf,inf,inf,inf,inf,inf
stlb,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stlb_misses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stlb_miss,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
load,0.2189473671858336,0.21947389197058825,0.2193041684556436,0.2196999231512876,0.2190263424437313,0.21953834168084319,0.2975329468665214,0.3331550231881683
store,0.12762228194577177,0.12788342546765655,0.12784413330284236,0.12806499474550456,0.12776218995423205,0.12799266001804455,0.11977169341417895,0.12467351753537138
br,0.09401445163623183,0.09409511057801163,0.09403113591959852,0.09425943965912656,0.09386211383372742,0.09425156503847859,0.12849002252139602,0.14744591178870778
fp,4.3238107157821e-06,4.3049240579533055e-06,4.34417770566241e-06,4.245516689425028e-06,4.195019737856107e-06,4.392384564121674e-06,6.669183167279915e-07,8.378051802386764e-05
int,0.580113921682123,0.5809197508091786,0.5806634447636382,0.5816726270356352,0.5802581271154864,0.5814732634085117,0.7842005001930682,0.8525334213273151
vector,9.788149796014357e-05,9.683229123578375e-05,9.818329760695188e-05,9.857419643175976e-05,9.862237142611928e-05,9.684028388245509e-05,4.985795966498533e-05,0.00012820833162957947
other,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
syscall_rate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
loads,109730600617.0,1264979030646.0,1271575024345.0,1251392181232.0,110573114384.0,1253396999445.0,274497722766.0,442515406025.0
stores,63960895397.0,737080160794.0,741269115228.0,729447379022.0,64499379783.0,730740766234.0,110498878999.0,165598440344.0
fps,2166979.0,24812239.0,25188522.0,24182104.0,2117811.0,25077176.0,615285.0,111282038.0
ints,290737677601.0,3348240178655.0,3366817599096.0,3313158088853.0,292937130511.0,3319770196102.0,723487108779.0,1132383265539.0
vector_uops,49055605.0,558111112.0,569288901.0,561470286.0,49788453.0,552884386.0,45997919.0,170293581.0
others,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
