,total_ins,total_uops,cycles,cycles:k,ipc,cpi,instructions,branch_miss,branch_misses,branch_instructions,l1i_cache_mpki,l1d_cache_mpki,l1d_cache_misses,l1d_cache,l1i_cache_load_misses,l1d_cache_miss,l1i_cache_loads,l1i_cache_load_miss,l2_cache_misses,l2_cache,l2_cache_miss,l3_cache_misses,l3_cache,l3_cache_miss,dtlb_misses,dtlb,dtlb_miss,itlb_misses,itlb,itlb_miss,stlb,stlb_misses,stlb_miss,load,store,br,fp,int,vector,other,syscall_rate,loads,stores,fps,ints,vector_uops,others
oltp_delete.lua_threads64,36738286236.0,0.0,111923585812.0,0.0,0.3282443639512224,3.046510800558944,36738286236.0,0.08622909747932576,713423622.0,8273583313.0,59.64140014383441,634.2113535815504,1013057662.0,15844139563.0,2191122830.0,0.06393895092705074,23299838242.0,0.09404025930318731,623891488.0,7652802987.0,0.08152457198490794,0.0,0.0,,620115832.0,0.0,inf,301632491.0,0.0,inf,0.0,0.0,0.0,0.3008147931290999,0.1397727477273608,0.2252033004439026,0.0005408029615853744,0.6605729608644448,0.0006810172864155917,0.0,0.0,11051419974.0,5135011214.0,19868174.0,24268318516.0,25019408.0,0.0
oltp_update_non_index.lua_threads128,54201733189.0,0.0,173383715908.0,0.0,0.3126114404986005,3.1988592560945532,54201733189.0,0.09270468685648124,1145874321.0,12360478848.0,63.52280499950417,655.5099707440834,1454609830.0,23517947921.0,3443046128.0,0.061851052433921236,35529776537.0,0.0969059325328005,962616092.0,11637241898.0,0.08271857717123136,0.0,0.0,,909851604.0,0.0,inf,468097708.0,0.0,inf,0.0,0.0,0.0,0.3046416730148227,0.14210283435296367,0.22804582290568715,0.0005526128637908343,0.6660495384920005,0.0008981080333770432,0.0,0.0,16512106679.0,7702219913.0,29952575.0,36101039376.0,48679012.0,0.0
oltp_point_select.lua_threads64,127827111068.0,0.0,836492125138.0,0.0,0.15281328685181797,6.543933584582167,127827111068.0,0.1766323576134686,5474267251.0,30992437201.0,112.61403521309533,830.947251248568,4800459906.0,67350321745.0,14395126787.0,0.07127597584723312,106217586577.0,0.13552489047154714,1409233770.0,43665878074.0,0.03227311191616918,0.0,0.0,,3091515980.0,0.0,inf,2321520426.0,0.0,inf,0.0,0.0,0.0,0.401347516284776,0.18040966528401117,0.24245589955101934,0.0009275547261404217,0.4463538040036588,0.0005566152000583833,0.0,0.0,51303093541.0,23061246322.0,118566641.0,57056117280.0,71150513.0,0.0
oltp_write_only.lua_threads64,97318087245.0,0.0,271724307632.0,0.0,0.35815009740239817,2.792125444758581,97318087245.0,0.08185333817422216,1772206559.0,21650999196.0,54.43538839458825,597.1218069535744,2435115949.0,39935692200.0,5297547877.0,0.060975929421851864,58110752105.0,0.09116295496275612,1417374621.0,18697339423.0,0.07580621974784589,0.0,0.0,,1391700467.0,0.0,inf,752188796.0,0.0,inf,0.0,0.0,0.0,0.28934173131774854,0.12836167745006527,0.22247662083095845,0.00031594194738532235,0.644438049199556,0.000671320407639399,0.0,0.0,28158183852.0,12491912925.0,30746866.0,62715478296.0,65331618.0,0.0
oltp_update_non_index.lua_threads64,34861557730.0,0.0,107589720745.0,0.0,0.32402312682478185,3.0861994629807956,34861557730.0,0.08951857014491549,705054644.0,7876071332.0,60.97525493448453,647.3973809431378,922851139.0,15034446191.0,2125692370.0,0.061382449827280104,22569281170.0,0.09418520483610068,598234270.0,7220478357.0,0.08285244279141601,0.0,0.0,,574066967.0,0.0,inf,283057927.0,0.0,inf,0.0,0.0,0.0,0.2998456383951148,0.14059994619179056,0.22592425137739247,0.0004907718161221707,0.6670887192165639,0.0008585528286432081,0.0,0.0,10453086033.0,4901533141.0,17109070.0,23255751896.0,29930489.0,0.0
oltp_write_only.lua_threads128,110464194643.0,0.0,275778057324.0,0.0,0.4005546913880109,2.496537979707036,110464194643.0,0.06603224394638994,1577246266.0,23886001319.0,44.470445005967306,554.6688312354675,2581325063.0,43914048420.0,4912391893.0,0.05878130475040361,61271045736.0,0.08017476826111536,1407642335.0,18643800844.0,0.0755018972138941,0.0,0.0,,1500552284.0,0.0,inf,709765888.0,0.0,inf,0.0,0.0,0.0,0.27774256469396347,0.12008426924099781,0.21623297391697982,0.0001979961115063991,0.6313924986861772,0.0006579888825958677,0.0,0.0,30680608727.0,13265012091.0,21871481.0,69746263871.0,72684212.0,0.0
select_random_ranges.lua_threads64,506064414440.0,0.0,875428400413.0,0.0,0.5780763043571062,1.7298754376589198,506064414440.0,0.04378094264147067,4640771852.0,105999815719.0,19.303586010508184,475.69042335329317,11427004070.0,241022642006.0,9768857951.0,0.04741050041977192,240729995549.0,0.040580144276252325,3939130607.0,50640104908.0,0.0777867781703135,0.0,0.0,,5347958747.0,0.0,inf,1978094119.0,0.0,inf,0.0,0.0,0.0,0.31645494922067335,0.14370076250169148,0.20945913740308555,0.0005842165573470747,0.4834197319479874,0.000777086334819982,0.0,0.0,160146588574.0,72721842230.0,295651210.0,244641523577.0,393255741.0,0.0
oltp_read_only.lua_threads64,311627829330.0,0.0,704145109189.0,0.0,0.44256194534805154,2.259570689507777,311627829330.0,0.07800255388327662,5180089422.0,66409228469.0,40.43015764698617,548.2344992143902,6406616547.0,153548469642.0,12599162267.0,0.0417237407962261,170845126954.0,0.07374610263477004,3829230304.0,44956280687.0,0.0851767594089984,0.0,0.0,,4106171865.0,0.0,inf,1918457379.0,0.0,inf,0.0,0.0,0.0,0.3356293766120686,0.14619714155167748,0.21310429370759304,0.0007402522248926515,0.5267752056577854,0.0006269034970978855,0.0,0.0,104591454093.0,45559097876.0,230683194.0,164157813884.0,195360576.0,0.0
oltp_update_index.lua_threads64,121819441569.0,0.0,178812107484.0,0.0,0.6812706548962314,1.467845404485118,121819441569.0,0.03466633874040819,845950773.0,24402656979.0,21.136984268160088,449.04347102934304,1591414152.0,42905384116.0,2574895620.0,0.037091245884139284,54702224881.0,0.04707113148690871,792720321.0,10485163935.0,0.07560399874663476,0.0,0.0,,863250983.0,0.0,inf,350917474.0,0.0,inf,0.0,0.0,0.0,0.24572157602647696,0.09952267957272597,0.20031824694564898,8.909878308588522e-05,0.6038739497942346,0.0002617397977640536,0.0,0.0,29933665173.0,12123797249.0,10853964.0,73563587342.0,31884996.0,0.0
oltp_insert.lua_threads128,66438147771.0,0.0,157460222044.0,0.0,0.42193607317811865,2.3700272708796195,66438147771.0,0.06206671456624306,943975611.0,15209047516.0,43.065076194807574,564.3112411897345,1412145020.0,22368214477.0,2861163896.0,0.06313177216053747,37491793631.0,0.07631440427097234,803508071.0,10233168170.0,0.07851997129839018,0.0,0.0,,804947259.0,0.0,inf,360935477.0,0.0,inf,0.0,0.0,0.0,0.23488606435551015,0.10824560196633179,0.22892040230294758,1.5626037673090507e-05,0.7015921391226106,7.797047590572873e-05,0.0,0.0,15605395053.0,7191637299.0,1038165.0,46612482214.0,5180214.0,0.0
